Title, Source, Date, Content, URL, Category
Indonesia to suspend all foreign arrivals; barring a few exceptions,Channelnewsasia.com,31/3/2020,Indonesia's Foreign Minister said on Tuesday the government has decided to ban all arrivals and transits by foreigners in Indonesia to prevent a further spread of the coronavirus.,https://www.channelnewsasia.com/news/asia/coronavirus-covid-19-indonesia-foreign-arrivals-travel-12592832,World
Air Canada to temporarily lay off half its workforce,Channelnewsasia.com,31/3/2020,Air Canada announced Monday it would temporarily lay off nearly half of its employees and reduce activity by up to 90 per cent in the second quarter due to the coronavirus.,https://www.channelnewsasia.com/news/business/air-canada-to-temporarily-lay-off-half-its-workforce-12592572,Business
Cabby dies after taxi catches fire along Seletar West Link,Channelnewsasia.com,31/3/2020,SINGAPORE: A 58-year-old ComfortDelGro taxi driver has died after his vehicle caught fire early Tuesday morning (Mar 31).,https://www.channelnewsasia.com/news/singapore/cabby-dies-taxi-fire-seletar-west-link-12592734,Singapore
G20 finance ministers to hold virtual talks on coronavirus crisis,Channelnewsasia.com,31/3/2020,Finance ministers and central bankers of the Group of 20 major economies will hold a second round of virtual talks Tuesday to push ahead the coronavirus response; the Saudi hosts said.,https://www.channelnewsasia.com/news/business/coronavirus-covid-19-g20-finance-ministers-12592212,Business
Myanmar reports first COVID-19 death; man had 4-day layover in Singapore,Channelnewsasia.com,31/3/2020,SINGAPORE: A Myanmar national who had a four-day layover in Singapore on his way home from Australia has died from COVID-19; Myanmar Ministry of Health and Sports spokesperson Dr Khin Khin Gyi said on Tuesday (Mar 31). The 69-year-old man; who died at about 7…,https://www.channelnewsasia.com/news/asia/myanmar-coronavirus-covid-19-first-death-singapore-transit-12592394,World
COVID-19 epidemic 'far from over' in Asia: WHO official,Channelnewsasia.com,31/3/2020,The coronavirus epidemic is "far from over" in the Asia-Pacific region; and the current measures to curb the spread of the virus are merely buying time for countries to prepare for large-scale community transmissions; a WHO official said on Tuesday.,https://www.channelnewsasia.com/news/asia/coronavirus-covid-19-who-asia-world-health-organization-12592562,World
Demand explodes for New York food banks,Channelnewsasia.com,31/3/2020,New York food banks have become inundated with newcomers deprived of income since the near-total halt of business in the United States' economic capital.,https://www.channelnewsasia.com/news/world/demand-explodes-for-new-york-food-banks-12592226,World
Teenager stole from at least 10 taxi drivers while they were distracted; gets probation,Channelnewsasia.com,31/3/2020,SINGAPORE: A teenager who distracted multiple taxi drivers before stealing their cash or wallets; at times looping in accomplices for his scheme; was sentenced to 21 months' probation on Monday (Mar 30). Saif Ali Khan Sadik Hussain; 18; also has to perform 11…,https://www.channelnewsasia.com/news/singapore/teenager-stole-from-at-least-10-taxi-drivers-while-they-were-12592412,Singapore
South Korea to open schools online; reschedule college exam,Channelnewsasia.com,31/3/2020,South Korea said on Tuesday it will open school classes online next week and reschedule its annual college entrance exams slated for November as concerns persist over the coronavirus and small outbreaks continue to emerge.,https://www.channelnewsasia.com/news/asia/coronavirus-covid-19-south-korea-cases-schools-exams-12592094,World
Airlines must suggest possible US compensation for grants: Treasury,Channelnewsasia.com,31/3/2020,Airlines must suggest possible compensation in return for government cash assistance and agree to conditions that include not cutting pay or laying off employees through Sept. 30; the U.S. Treasury Department said in guidelines issued on Monday as it prepares…,https://www.channelnewsasia.com/news/business/airlines-must-suggest-possible-us-compensation-for-grants--treasury-12592436,Business
Govt to introduce new legislation over meetings; as firms uncertain about how to comply with COVID-19 rules,Channelnewsasia.com,31/3/2020,SINGAPORE: The Government will introduce new legislation to provide clarity over how meetings are conducted; the Ministry of Law and Ministry of Finance said in a media release on Tuesday (Mar 31).,https://www.channelnewsasia.com/news/business/coronavirus-covid-19-shareholder-meetings-gatherings-rules-12592366,Business
Instacart; Amazon workers strike as labour unrest grows during coronavirus crisis,Channelnewsasia.com,31/3/2020,Warehouse; delivery and retail gig workers in the United States went on strike on Monday to call attention to safety and wage concerns for people laboring through the coronavirus crisis.,https://www.channelnewsasia.com/news/business/instacart--amazon-workers-strike-as-labour-unrest-grows-during-coronavirus-crisis-12591342,Business
Restrictions are slowing coronavirus infections in the US; new data suggests,Channelnewsasia.com,31/3/2020,NEW YORK: Harsh measures; including stay-at-home orders and restaurant closures; are contributing to rapid drops in the numbers of fevers - a signal symptom of most coronavirus infections - recorded in states across the country; according to intriguing new da…,https://www.channelnewsasia.com/news/world/covid-19-restrictions-slowing-coronavirus-infections-in-the-us-12592326,World
Asia shares edge up; China factories show flicker of life,Channelnewsasia.com,31/3/2020,SYDNEY: Asian shares managed a tentative rally on Tuesday as factory data from China held out the hope of a rebound in activity even as other countries across the globe all but shut down. China's official manufacturing purchasing managers' index (PMI) bounced…,https://www.channelnewsasia.com/news/business/asia-shares-edge-up-china-factories-show-flicker-of-life-12591998,Business
US coronavirus death toll rises past 3;000 on deadliest day,Channelnewsasia.com,31/3/2020,NEW YORK: The US death toll from the coronavirus pandemic climbed past 3;000 on Monday (Mar 30); the deadliest day yet in the country's mounting crisis; while New York cheered the arrival of a gleaming 1;000-bed US Navy hospital ship as a sign of hope in the …,https://www.channelnewsasia.com/news/world/us-coronavirus-covid-19-death-toll-deadliest-day-12592328,World
Florida megachurch pastor charged with defying COVID-19 stay-at-home orders,Channelnewsasia.com,31/3/2020,The pastor of a megachurch in Tampa; Florida; was arrested on Monday on charges of holding prayer services in violation of public health orders temporarily banning such gatherings to limit the spread of coronavirus infections; authorities said.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-united-states-florida-pastor-charged-12592100,World
American Airlines seeking up to US$12 billion from aid package,Channelnewsasia.com,31/3/2020,American Airlines intends to apply for up to US$12 billion government aid; ensuring no involuntary layoffs or pay cuts in the next six months; executives said in a memo to employees on Monday.,https://www.channelnewsasia.com/news/business/american-airlines-seeking-up-to-us-12-billion-from-aid-package-12591830,Business
US Air Force finds additional deficiency in Boeing's aerial fuel system,Channelnewsasia.com,31/3/2020,The U.S. Air Force announced on Monday an additional deficiency in the KC-46 Pegasus aerial fuel system built by Boeing ; classifying it at the Category I level; meaning it is a major technical issue that may endanger the aircrew and aircraft.,https://www.channelnewsasia.com/news/business/us-air-force-finds-additional-deficiency-in-boeing-s-aerial-fuel-system-12592162,Business
China's March official factory activity unexpectedly expands after steep contraction,Channelnewsasia.com,31/3/2020,Factory activity in China unexpectedly expanded in March after contracting sharply to a record low; but the rapid global spread of the coronavirus is expected to keep businesses and the overall economy under heavy pressure as foreign demand slumps.,https://www.channelnewsasia.com/news/business/china-s-march-official-factory-activity-unexpectedly-expands-after-steep-contraction-12592104,Business
ERP rates to be cut at 96% of gantries amid COVID-19 outbreak,Channelnewsasia.com,31/3/2020,SINGAPORE: Electronic Road Pricing (ERP) rates will be cut at 96 per cent of gantries in Singapore; the Land Transport Authority (LTA) announced on Tuesday (Mar 31); citing “exceptional circumstances” due to the COVID-19 outbreak.,https://www.channelnewsasia.com/news/singapore/erp-rates-gantries-covid-19-coronavirus-lta-12592030,Singapore
Crude rises after US; Russia agree to oil market talks,Channelnewsasia.com,31/3/2020,Oil recovered some ground on Tuesday as U.S. President Donald Trump and Russian President Vladimir Putin agreed to discuss stabilizing energy markets; but prices remain near 18-year lows as the coronavirus shutdown destroys demand.,https://www.channelnewsasia.com/news/business/crude-rises-after-us--russia-agree-to-oil-market-talks-12592008,Business
China reports 48 new confirmed coronavirus cases; all imported,Channelnewsasia.com,31/3/2020,BEIJING: Mainland China reported on Tuesday (Mar 31) a rise in new confirmed coronavirus cases; reversing four days of declines; due to an uptick in infections involving travellers arriving from overseas. Mainland China had 48 new cases on Monday; the Nationa…,https://www.channelnewsasia.com/news/asia/covid-19-china-reports-48-new-confirmed-coronavirus-cases-12591994,World
Asia shares make cautious gains; investors eye China PMI,Channelnewsasia.com,31/3/2020,Asian share markets managed a tentative rally on Tuesday after European and U.S. equities stabilized; though buying for month and quarter-end book balancing likely flattered the gains.,https://www.channelnewsasia.com/news/business/asia-shares-make-cautious-gains--investors-eye-china-pmi-12591998,Business
US man teaching dog how to drive arrested after high-speed chase,Channelnewsasia.com,31/3/2020,LOS ANGELES: A resident of the western US state of Washington was arrested following a high-speed chase that left officers dumbfounded after they found the man's pit bull behind the wheel.,https://www.channelnewsasia.com/news/world/united-states-man-arrested-teaching-dog-how-to-drive-12591974,World
Samsung says chip factory worker tests positive for virus; output not affected,Channelnewsasia.com,31/3/2020,Samsung Electronics Co Ltd said on Tuesday that one of its chip factory workers in South Korea had tested positive for coronavirus; but its output has not been affected.,https://www.channelnewsasia.com/news/business/samsung-says-chip-factory-worker-tests-positive-for-virus--output-not-affected-12591988,Business
US senators urge delay to USMCA trade deal start date,Channelnewsasia.com,31/3/2020,A bipartisan group of 19 U.S. senators urged the Trump administration to push back the planned June 1 start date for the new U.S.-Mexico-Canada trade pact; saying the short lead time would add to pressures on U.S. companies due to the spread of the coronaviru…,https://www.channelnewsasia.com/news/business/us-senators-urge-delay-to-usmca-trade-deal-start-date-12591978,Business
US senators urge coronavirus delay to June 1 USMCA trade deal start date,Channelnewsasia.com,31/3/2020,A bipartisan group of 19 U.S. senators urged the Trump administration to push back the planned June 1 start date for the new U.S.-Mexico-Canada trade pact; saying the short lead time would add to pressures on U.S. companies due to the spread of the coronaviru…,https://www.channelnewsasia.com/news/business/us-senators-urge-coronavirus-delay-to-june-1-usmca-trade-deal-start-date-12591978,Business
Brazil's Bolsonaro urges no more coronavirus quarantine; says jobs being lost,Channelnewsasia.com,31/3/2020,Brazil's President Jair Bolsonaro said on Monday that there can be no more quarantine measures imposed on the country than those already in place to combat coronavirus because jobs are being destroyed and the poor are suffering disproportionately.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-brazil-jair-bolsonaro-12591954,World
New Zealand extends state of emergency to stop spread of COVID-19,Channelnewsasia.com,31/3/2020,WELLINGTON: New Zealand is extending the state of national emergency for a further seven days to help stop the spread of COVID-19; the Minister of Civil Defence Peeni Henare said in a statement on Tuesday (Mar 31).,https://www.channelnewsasia.com/news/world/covid-19-new-zealand-extends-state-of-emergency-12591942,World
Trump says US to send medical supplies to Italy; France; Spain,Channelnewsasia.com,31/3/2020,President Donald Trump said Monday that the United States will send medical equipment for combating the coronavirus pandemic to Italy and later France and Spain.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-donald-trump-medical-supplies-12591926,World
Activist investor Starboard says it has 9.3per cent stake in software firm Commvault,Channelnewsasia.com,30/3/2020,Activist investor Starboard Value LP has built a stake in U.S. data protection and data management software company Commvault; saying in a regulatory filing that it felt the shares were undervalued when it purchased them.,https://www.channelnewsasia.com/news/business/activist-investor-starboard-says-it-has-9-3per-cent-stake-in-software-firm-commvault-12591950,Business
Activist investor Starboard says it has 9.3% stake in software firm Commvault,Channelnewsasia.com,30/3/2020,Activist investor Starboard Value has built a stake in U.S. data protection and data management software company Commvault; saying in a regulatory filing that it felt the shares were undervalued when it purchased them.,https://www.channelnewsasia.com/news/business/activist-investor-starboard-says-it-has-9-3-stake-in-software-12591950,Business
American Airlines seeking up to US$12 billion from aid package: memo,Channelnewsasia.com,30/3/2020,American Airlines Holdings Inc  intends to apply for up to US$12 billion government aid; ensuring no involuntary layoffs or pay cuts in the next six months; executives said in a memo to employees on Monday.,https://www.channelnewsasia.com/news/business/american-airlines-seeking-up-to-us-12-billion-from-aid-package--memo-12591830,Business
Trump says COVID-19 guidelines may get tougher; 1 million Americans tested,Channelnewsasia.com,30/3/2020,US President Donald Trump said on Monday (Mar 30) that federal social distancing guidelines might be toughened and travel restrictions with China and Europe would stay in place as he urged Americans to help fight the coronavirus with tough measures through Ap…,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-united-states-donald-trump-12591784,World
