Title, Source, Date, Content, URL, Category, Classification, Relevance
Singapore’s fundamentals still strong although COVID-19 could slow foreign investments: DPM Heng,Channelnewsasia.com,30/3/2020,SINGAPORE: The COVID-19 outbreak could slow down foreign investments but the country’s fundamentals remain strong and the reasons why global firms will want to invest in Singapore are still “intact”; said Deputy Prime Minister Heng Swee Keat on Monday (Mar 30…,https://www.channelnewsasia.com/news/singapore/covid19-foreign-investments-slow-heng-swee-keat-12589406,Singapore,politics - government - ministers (government),100
COVID-19: Malaysia to implement enhanced measures for second phase of movement control order,Channelnewsasia.com,30/3/2020,PUTRAJAYA: Malaysian authorities are set to implement enhanced measures to better contain the spread of COVID-19; Senior Minister Ismail Sabri Yaakob said on Monday (Mar 30). Speaking at a press conference in Putrajaya; Mr Ismail Sabri; who is also defence mi…,https://www.channelnewsasia.com/news/asia/covid-19-malaysia-to-implement-enhanced-measures-for-second-12589280,World,,0
Apple supplier Foxconn's profit down 24per cent in last quarter of 2019,Channelnewsasia.com,30/3/2020,Taiwanese electronics manufacturer Foxconn reported a 23.7per cent fall in profit in the last three months of 2019 on Monday as it braces for the impact from the coronavirus pandemic that has hit demand from key customers such as Apple.,https://www.channelnewsasia.com/news/business/apple-supplier-foxconn-s-profit-down-24per-cent-in-last-quarter-of-2019-12589706,Business,health - epidemic and plague,100
India says no plan to extend COVID-19 lockdown as poor struggle,Channelnewsasia.com,30/3/2020,India has no plans to extend a 21-day lockdown to slow the spread of the coronavirus; the government said on Monday; as it struggled to keep essential supplies flowing and prevent tens of thousands of out-of-work people fleeing to the countryside.,https://www.channelnewsasia.com/news/asia/india-says-no-plan-to-extend-covid-19-lockdown-as-poor-struggle-12589450,World,,0
China's big banks flag asset pressure due to virus; boding ill for smaller kin,Channelnewsasia.com,30/3/2020,China's largest state banks said the impact of restrictions on movement imposed to slow the spread of the coronavirus could pull down asset quality as borrowers struggle to repay loans; though they are likely big enough to weather any fallout.,https://www.channelnewsasia.com/news/business/china-s-big-banks-flag-asset-pressure-due-to-virus--boding-ill-for-smaller-kin-12589652,Business,economy; business and finance - financial and business service - banking,100
Cambodia PM orders casinos shut down as COVID-19 cases climb,Channelnewsasia.com,30/3/2020,Cambodian Prime Minister Hun Sen on Monday ordered all casinos to close to curb the spread of the coronavirus.,https://www.channelnewsasia.com/news/asia/cambodia-covid-19-casinos-shut-down-12589536,World,,0
UK trials new breathing aid developed by Mercedes Formula One,Channelnewsasia.com,30/3/2020,A new version of a breathing aid that can help coronavirus patients has been developed in less a week by a team involving Mercedes Formula One; and is being trialled at London hospitals.,https://www.channelnewsasia.com/news/business/uk-trials-new-breathing-aid-developed-by-mercedes-formula-one-12589356,Business,sport - motor racing - Formula One,100
Ted Baker names finance chief Rachel Osborne as CEO,Channelnewsasia.com,30/3/2020,Troubled fashion retailer Ted Baker  on Monday named Chief Financial Officer Rachel Osborne to the permanent role of chief executive officer; replacing Lindsay Page who stepped down last year.,https://www.channelnewsasia.com/news/business/ted-baker-names-finance-chief-rachel-osborne-as-ceo-12589632,Business,arts; culture and entertainment - fashion,100
EasyJet grounds entire fleet as coronavirus pushes airlines to brink,Channelnewsasia.com,30/3/2020,British low cost airline easyJet  said it had grounded its entire fleet and reached a deal with its cabin crew for employees to be furloughed for two months under a government job retention scheme.,https://www.channelnewsasia.com/news/business/easyjet-grounds-entire-fleet-as-coronavirus-pushes-airlines-to-brink-12589396,Business,labour - employment,100
High Court judge dismisses all three challenges to Section 377A,Channelnewsasia.com,30/3/2020,SINGAPORE: Three men have failed in their challenges against Section 377A of the penal code; after a High Court judge dismissed their court actions against the law that criminalises sex between men on Monday (Mar 30). Justice See Kee Oon will release his full…,https://www.channelnewsasia.com/news/singapore/377a-challenge-dismissed-high-court-judge-penal-code-12588738,Singapore,crime; law and justice - judiciary (system of justice),100
Vietnam PM asks major cities to prepare for lockdown to stop virus,Channelnewsasia.com,30/3/2020,HANOI: Vietnam’s prime minister on Monday (Mar 30) asked major cities to prepare for possible lockdowns to stop the spread of coronavirus as the number of confirmed cases in the Southeast Asian country reached nearly 200. “Hanoi and Ho Chi Minh City have to r…,https://www.channelnewsasia.com/news/asia/coronavirus-covid19-vietnam-prepare-lockdown-12589496,World,,0
High Court judge dismisses all three challenges to Section 377A,Channelnewsasia.com,30/3/2020,SINGAPORE: Three men have failed in their challenges against section 377A of the penal code; after a High Court judge dismissed their court actions against the law that criminalises sex between men on Monday (Mar 30). Justice See Kee Oon will release his full…,https://www.channelnewsasia.com/news/singapore/high-court-judge-dismisses-all-three-challenges-to-section-377a-12588738,Singapore,crime; law and justice - judiciary (system of justice),100
Britain orders 10;000 ventilators from F1; aerospace consortium,Channelnewsasia.com,30/3/2020,Britain has ordered more than 10;000 ventilators from a consortium of leading aerospace; engineering and technology companies; with production to begin this week.,https://www.channelnewsasia.com/news/business/britain-orders-10-000-ventilators-from-f1--aerospace-consortium-12589386,Business,economy; business and finance - manufacturing and engineering - aerospace,100
Ardern's online messages keep spirits up in New Zealand's coronavirus lockdown,Channelnewsasia.com,30/3/2020,Hours after New Zealand imposed a nationwide lockdown to beat a coronavirus pandemic; Prime Minister Jacinda Ardern took to Facebook; livestreaming in a sweater from bed; to "check in" on citizens and tell them of the day's events.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-new-zealand-jacinda-ardern-12589302,World,health - epidemic and plague,100
COVID-19: UK trials new breathing aid developed by team involving Mercedes Formula One,Channelnewsasia.com,30/3/2020,LONDON: A new version of a breathing aid that can help coronavirus patients has been developed in less than a week by a team involving Mercedes Formula One; and is being trialled at London hospitals. Continuous Positive Airway Pressure (CPAP) devices have bee…,https://www.channelnewsasia.com/news/world/covid-19-uk-trials-new-breathing-aid-developed-by-mercedes-12589344,World,health - patient,100
EasyJet grounds fleet; furloughs cabin crew for two months,Channelnewsasia.com,30/3/2020,British low cost airline easyJet  said it had grounded its entire fleet and reached a deal with its cabin crew for employees to be furloughed for two months under a government job retention scheme.,https://www.channelnewsasia.com/news/business/easyjet-grounds-fleet--furloughs-cabin-crew-for-two-months-12589396,Business,labour - employment,100
Police site crashes as New Zealanders turn into shutdown snitches,Channelnewsasia.com,30/3/2020,New Zealanders have become so keen to report their neighbours for breaking coronavirus lockdown rules that police on Monday said a website dedicated to addressing the issue crashed soon after going live.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-new-zealand-police-report-neighbours-12589266,World,disaster and accident - transport accident - air and space accident,100
Sanofi; Regeneron expand testing of potential coronavirus treatment,Channelnewsasia.com,30/3/2020,Sanofi and Regeneron Pharmaceuticals Inc have expanded a clinical trial of their rheumatoid arthritis drug Kevzara as a coronavirus treatment to patients outside the United States.,https://www.channelnewsasia.com/news/world/sanofi--regeneron-expand-testing-of-potential-coronavirus-treatment-12589262,World,health - disease,100
COVID-19: National Wages Council suggests management lead by example when cutting pay,Channelnewsasia.com,30/3/2020,SINGAPORE: With the unprecedented economic crisis caused by the COVID-19 pandemic; struggling companies considering wage cuts should have their management teams lead by example; the National Wages Council (NWC) said on Monday (Mar 30). Its recommendation came…,https://www.channelnewsasia.com/news/business/wage-council-covid-19-salaries-basic-12589242,Business,labour - wage and pension,100
COVID-19: Malaysia’s Chinese community urged to observe Qing Ming festival at home amid movement control order,Channelnewsasia.com,30/3/2020,KUALA LUMPUR: Malaysia’s Chinese community has been urged by the government; as well as religious and grassroots associations; to observe this year’s Qing Ming festival at home amid an extended movement control order (MCO). In a Facebook post on Sunday (Mar 2…,https://www.channelnewsasia.com/news/asia/malaysia-covid19-movement-control-mco-qing-ming-12589210,World,politics - government,100
China's BAIC; Didi plan car leasing service amid new car sales slowdown,Channelnewsasia.com,30/3/2020,Chinese automaker BAIC Group and ride-hailing service provider Didi Chuxing plan to team up with other industry players to lease BAIC's cars to customers amid concerns about ride hailing and vehicle sharing eating into car sales.,https://www.channelnewsasia.com/news/business/china-s-baic--didi-plan-car-leasing-service-amid-new-car-sales-slowdown-12589322,Business,economy; business and finance - manufacturing and engineering - automotive equipment,100
China slashes rate; pumps US$7 billion into market to counter COVID-19 impact,Channelnewsasia.com,30/3/2020,China's central bank on Monday cut an interest rate on loans to banks by the largest margin in five years and injected 50 billion yuan ($7 billion) into the financial system to help the world's second-largest economy weather the coronavirus impact.,https://www.channelnewsasia.com/news/business/covid-19-china-slashes-rate-pumps-us-7-billion-market-12589274,Business,economy; business and finance - macro economics - interest rate,100
Thailand reports 136 new coronavirus cases; bringing total to 1;524,Channelnewsasia.com,30/3/2020,BANGKOK: Thailand saw 136 new coronavirus cases on Monday (Mar 30); raising the total number of infections to 1;524; said the spokesman of the government's Center for COVID-19 Situation Administration (CCSA). Infections in Thailand are likely to keep rising; …,https://www.channelnewsasia.com/news/asia/covid-19-thailand-reports-136-new-coronavirus-cases-12589252,World,health - disease - virus diseases,100
