Title, Source, Date, Content, URL, Category
National Wages Council: 10% cut in basic pay or lower MVC; if wage cuts necessary,Theonlinecitizen.com,30/3/2020,In the event that wages need to be reduced; it has been suggested by the National Wages Council (NWC) that the Monthly Variable Component (MVC) be adjusted downwards. How much adjustment depends on the company’s key performance indicators; the firm’s situatio…,https://www.theonlinecitizen.com/2020/03/30/national-wages-council-10-cut-in-basic-pay-or-lower-mvc-if-wage-cuts-necessary/,World
Columbia Sportswear’s CEO takes pay cut on own salary while continuing to pay employees amid COVID-19 crisis,Theonlinecitizen.com,30/3/2020,The president and Chief Executive Officer (CEO) of Columbia Sportswear Company Tim Boyle has taken the initiative to cut his own salary down to to $10;000 (S$14;262) a year while still regularly paying his employees in the midst of COVID-19 crisis. On top of …,https://www.theonlinecitizen.com/2020/03/30/columbia-sportswears-ceo-takes-pay-cut-on-own-salary-while-continuing-to-pay-employees-amid-covid-19-crisis/,Business
PM Lee cautions public about fake COVID-19 email allegedly sent by him asking for “contribution”,Theonlinecitizen.com,30/3/2020,An email that has been making rounds allegedly sent by Prime Minister Lee Hsien Loong encouraging people to give their “contribution and thought” on the current COVID-19 situation in Singapore is fake; said Mr Lee in a Facebook post today (30 March). He also …,https://www.theonlinecitizen.com/2020/03/30/pm-lee-cautions-public-about-fake-covid-19-email-allegedly-sent-by-him-asking-for-contribution/,Singapore
Impossible Foods launches Earth Month campaign to highlight Singapore’s environmental impact,Theonlinecitizen.com,30/3/2020,On Monday (30 March); Impossible Foods; a planet-first food tech company; announced that it is celebrating Earth Month with a new campaign that aims to showcase the collective impact of choosing a plant-based diet; and how individual food choices can reduce S…,https://www.theonlinecitizen.com/2020/03/30/impossible-foods-launches-earth-month-campaign-to-highlight-singapores-environmental-impact/,Singapore
German Finance Minister committed suicide for worrying about the economic fallout caused by COVID-19 pandemic,Theonlinecitizen.com,30/3/2020,With the COVID-19 pandemic impacting various countries across the globe; people are seeing an economic fallout following the closures of businesses and services. Thomas Schaefer; a Finance Minister of the Hesse state in Germany; was reported to have committed…,https://www.theonlinecitizen.com/2020/03/30/german-finance-minister-committed-suicide-for-worrying-about-the-economic-fallout-caused-by-covid-19-pandemic/,Business
Lightning never strikes twice? For Dr Tan Cheng Bock; it could even be thrice,Theonlinecitizen.com,30/3/2020,Dr Tan Cheng Bock has been compared with Dr Mahathir Mohamad. But the one he more closely resembles – in spirit and in destiny – is Anwar Ibrahim. Anwar has come so near yet so far many times. His highest political aspirations have been cruelly foiled time an…,https://www.theonlinecitizen.com/2020/03/30/lightning-never-strikes-twice-for-dr-tan-cheng-bock-it-could-even-be-thrice/,Singapore
Bethany Church Singapore: Dog abuse case does not relate to the church or its activities,Theonlinecitizen.com,30/3/2020,On 24 March; Singapore’s volunteer group for dogs’ welfare; Chained Dog Awareness in Singapore (CDAS); publicised an open letter on Facebook with an intention to seek justice for a senior dog – Angel – that had been euthanised by its owner. The open letter wa…,https://www.theonlinecitizen.com/2020/03/30/bethany-church-singapore-dog-abuse-case-does-not-relate-to-the-church-or-its-activities/,Singapore
Monetary policy and the S$NEER,Theonlinecitizen.com,30/3/2020,On Monday (30 March); the Monetary Authority of Singapore (MAS) stated that it will set the rate of the appreciation of SGD to zero per cent. This new appreciation rate is at the prevailing lower level of the exchange policy rate band; in preparation for the …,https://www.theonlinecitizen.com/2020/03/30/monetary-policy-and-the-sneer/,Business
Govt should “exercise restraint” in deploying “institutional prerogatives” when wanting to call for early general elections; says Prof Donald Low,Theonlinecitizen.com,30/3/2020,Senior Lecturer and Professor of Practice at the Hong Kong University of Science and Technology Prof Donald Low commented that the ruling government should “exercise restraint” in deploying its institutional prerogatives when it comes to their motives to call…,https://www.theonlinecitizen.com/2020/03/30/govt-should-exercise-restraint-in-deploying-institutional-prerogatives-when-wanting-to-call-for-early-general-elections-says-prof-donald-low/,World
Manpower Ministry to consider appeals from self-employed and freelancers who do not qualify for COVID-19 relief scheme,Theonlinecitizen.com,30/3/2020,The Ministry of Manpower (MOM) will consider appeals raised by self-employed and freelancers who do not qualify for the scheme that was introduced as part of the Resilience Budget to help those who are affected by the COVID-19 pandemic in Singapore; said Manp…,https://www.theonlinecitizen.com/2020/03/30/manpower-ministry-to-consider-appeals-from-self-employed-and-freelancers-who-do-not-qualify-for-covid-19-relief-scheme/,Business
