Title, Source, Date, Content, URL, Category, Classification, Relevance
COVID-19 brings everyone down to same level; regardless if you are a commoner; royalty or ruling political figure,Theonlinecitizen.com,31/3/2020,What does COVID-19 tell us? For once; we are in this together. Whether you are the Queen; Prime Minister; Minister; serial head of statutory bodies or a genius; you are as vulnerable as the cashier or porter in the hospital. In the United Kingdom; society now…,https://www.theonlinecitizen.com/2020/03/31/covid-19-brings-everyone-down-to-same-level-regardless-if-you-are-a-commoner-royalty-or-ruling-political-figure/,World,politics - government - ministers (government),100
High Court’s decision to dismiss Section 377A legal challenges “yet another start” to a “long fight”; says S’porean filmmaker Boo Junfeng,Theonlinecitizen.com,31/3/2020,The High Court’s decision on Mon (30 Mar) to dismiss legal challenges mounted by three men against Section 377A of the Penal Code is “yet another start” to a “long fight”; says Singaporean filmmaker Boo Junfeng. Narrating his experience of receiving a “text f…,https://www.theonlinecitizen.com/2020/03/31/high-courts-decision-to-dismiss-section-377a-legal-challenges-yet-another-start-to-a-long-fight-says-sporean-filmmaker-boo-junfeng/,Singapore,arts; culture and entertainment - cinema,100
Malaysia’s Ministry advised women to wear makeup while working at home and speak to spouse in “Doraemon” voice,Theonlinecitizen.com,31/3/2020,Yesterday (30 March); Malaysia’s Women; Family and Community Development Ministry shared a few pieces of advice onto their official Instagram account; telling women to wear makeup while they work from home and other suggestions that had angered the Malaysian …,https://www.theonlinecitizen.com/2020/03/31/malaysias-ministry-advised-women-to-wear-makeup-while-working-at-home-and-speak-to-spouse-in-doraemon-voice/,World,social issue - family,100
Business owners at the mercy of landlords; Resilience Budget doesn’t address concerns,Theonlinecitizen.com,31/3/2020,On 24 March; the government announce closures for all bars and entertainment venues likes night clubs; discos; cinemas; theatres; and karaoke outlets; where there is a high risk of transmission due to sustained close contact over a period of time. The closure…,https://www.theonlinecitizen.com/2020/03/31/business-owners-at-the-mercy-of-landlords-resilience-budget-doesnt-address-concerns/,Business,arts; culture and entertainment - cinema,100
Barbra Streisand praises PM Lee for having “common sense” in handling COVID-19,Theonlinecitizen.com,31/3/2020,Hollywood movie star Barbra Streisand posted a message on Twitter yesterday (30 Mar) praising Singapore’s PM Lee for having “common sense” in fighting the present COVID-19 pandemic. She wrote: “The Prime Minister of Singapore (a country that only has three de…,https://www.theonlinecitizen.com/2020/03/31/barbra-streisand-praises-pm-lee-for-having-common-sense-in-handling-covid-19/,Singapore,,0
Civil rights activist Jolovan Wham: Persistent “nonviolent resistance and disobedience” among most crucial “tools” for opening up S’pore’s “already shrinking civil and political space”,Theonlinecitizen.com,31/3/2020,Acts of nonviolent resistance and civil disobedience are among some of the most necessary “tools” for opening up what civil rights activist and social worker Jolovan Wham branded as Singapore’s “already shrinking civil and political space”. Such acts; said Mr…,https://www.theonlinecitizen.com/2020/03/31/civil-rights-activist-jolovan-wham-persistent-nonviolent-resistance-and-disobedience-among-most-crucial-tools-for-opening-up-spores-already-shrinking-civil-and-political-space/,Singapore,crime; law and justice - justice and rights,100
Could PM Lee’s comparison of Israel’s election during a pandemic be the best example?,Theonlinecitizen.com,31/3/2020,While speaking to reporters at the Istana on Friday (27 March); Prime Minister Lee Hsien Loong said that it’s best to give Singapore six months for the whole COVID-19 situation to settle first before holding the next General Election (GE). He said this after …,https://www.theonlinecitizen.com/2020/03/31/could-pm-lees-comparison-of-israels-election-during-a-pandemic-be-the-best-example/,Singapore,politics - government - ministers (government),100
47 additional cases of COVID-19 infection; 18 unlinked local cases,Theonlinecitizen.com,31/3/2020,As of 31 March 2020; 12 pm; the Ministry of Health (MOH) has confirmed and verified an additional 47 cases of COVID-19 infection in Singapore; of which 16 are imported and 18 are local cases who have no recent travel history abroad. This makes a total of 926 …,https://www.theonlinecitizen.com/2020/03/31/47-additional-cases-of-covid-19-infection-18-unlinked-local-cases/,Singapore,health - disease,100
Indonesia declares state of emergency as virus toll jumps,Theonlinecitizen.com,31/3/2020,Indonesian leader Joko Widodo declared a state of emergency Tuesday as coronavirus deaths in the world’s fourth most populous country jumped again; but he resisted calls for a nationwide lockdown. Widodo’s administration has been heavily criticised for not im…,https://www.theonlinecitizen.com/2020/03/31/indonesia-declares-state-of-emergency-as-virus-toll-jumps/,World,,0
Two men file appeals against High Court decision to set aside Section 377A legal challenges,Theonlinecitizen.com,31/3/2020,Two men who brought legal challenges against Section 377A of the Penal Code — which criminalises sex between men — are set to appeal against the High Court’s decision on Mon (30 Mar) to dismiss their cases. Counsels for disc jockey Johnson Ong Ming and retire…,https://www.theonlinecitizen.com/2020/03/31/two-men-file-appeals-against-high-court-decision-to-set-aside-section-377a-legal-challenges/,World,,0
Asia virus latest: Myanmar reports first death; China factory turnaround,Theonlinecitizen.com,31/3/2020,Here are the latest developments in Asia related to the coronavirus pandemic: First confirmed death in Myanmar Myanmar reported its first coronavirus death — a 69-year-old man who had returned to the country in mid-March after receiving cancer treatment in Au…,https://www.theonlinecitizen.com/2020/03/31/asia-virus-latest-myanmar-reports-first-death-china-factory-turnaround/,World,health - epidemic and plague,100
NWC; MOM: Singapore companies should support staff who need 2nd employment amid pandemic,Theonlinecitizen.com,31/3/2020,To allow local workers to supplement their incomes during the current COVID-19 spread; Singapore companies have been advised to let their workers find a second job. According to the wage and training guidelines released by the National Wages Council (NWC) on …,https://www.theonlinecitizen.com/2020/03/31/nwc-mom-singapore-companies-should-support-staff-who-need-2nd-employment-amid-pandemic/,Singapore,labour - employment,100
Chinese daily Lianhe Zaobao removes its poll of public views on holding an election during the ongoing coronavirus pandemic,Theonlinecitizen.com,31/3/2020,Recently; Chinese daily Lianhe Zaobao posted a poll on its website; asking people; “What are your views on holding an election during the ongoing coronavirus pandemic?” Of 11;635 voters; a total of 7;859 voters (67.55%) disagree to hold the election amid the …,https://www.theonlinecitizen.com/2020/03/31/chinese-daily-lianhe-zaobao-removes-its-poll-of-public-views-on-holding-an-election-during-the-ongoing-coronavirus-pandemic/,Singapore,politics - election,100
Could the coronavirus make our Prime Minister postpone his plan to step down?,Theonlinecitizen.com,31/3/2020,These are topsy turvy times. Who would have thought that you could be hauled to prison for up to six months and/or fined up to $10;000 for queuing or sitting less than one metre away from another person. And who would have imagined that while the law compels …,https://www.theonlinecitizen.com/2020/03/31/could-the-coronavirus-make-our-prime-minister-postpone-his-plan-to-step-down/,Business,,0
SAF to introduce enhanced measures; defers all non-operations-essential In-Camp-Training and closing Fitness Conditioning Centres till 30 April,Theonlinecitizen.com,31/3/2020,The Singapore Armed Forces (SAF) has announced on Tuesday (31 March) that it will introduce enhanced measures; on top of existing safe-distancing measures.; to further safeguard SAF personnel’s health and maintain its units’ integrity in light of the COVID-19…,https://www.theonlinecitizen.com/2020/03/31/saf-to-introduce-enhanced-measures-defers-all-non-operations-essential-in-camp-training-and-closing-fitness-conditioning-centres-till-30-april/,Singapore,politics - defence - armed Forces,100
Indonesia increases pig export to S’pore due to M’sia movement control order,Theonlinecitizen.com,31/3/2020,Indonesia has significantly increased its pig export to Singapore in the wake of Malaysia’s movement control order. 1;635 pigs worth 5.17 billion Rupiah (S$450;209.29) were exported from the Riau Islands into Singapore last Sun (29 Mar). Tanjung Pinang Agricu…,https://www.theonlinecitizen.com/2020/03/31/indonesia-increases-pig-export-to-spore-due-to-msia-movement-control-order/,Business,economy; business and finance - macro economics - exports,100
Hungry and in chains; Thailand’s tourist elephants face crisis,Theonlinecitizen.com,31/3/2020,by Sophie Deviller with Dene-Hern Chen Underfed and chained up for endless hours; many elephants working in Thailand’s tourism sector may starve; be sold to zoos or be shifted into the illegal logging trade; campaigners warn; as the coronavirus decimates visi…,https://www.theonlinecitizen.com/2020/03/31/hungry-and-in-chains-thailands-tourist-elephants-face-crisis/,World,,0
US President Donald Trump: We’re sending medical supplies to Italy; France and Spain,Theonlinecitizen.com,31/3/2020,COVID-19 in the United States have surpassed 143;000 cases in total; along with more than 2;500 deaths in the country as of Monday (30 March). The country is on top of the list of the highest number of cases in the world; surpassing Italy and China. As report…,https://www.theonlinecitizen.com/2020/03/31/us-president-donald-trump-were-sending-medical-supplies-to-italy-france-and-spain/,World,social issue - demographics,100
Facebook and Instagram remove Bolsonaro video questioning virus quarantine,Theonlinecitizen.com,31/3/2020,Facebook and Instagram removed videos of Brazilian president Jair Bolsonaro on Monday; saying they spread misinformation about the coronavirus; a day after Twitter did the same. “We remove content on Facebook and Instagram that violates our terms of use; whic…,https://www.theonlinecitizen.com/2020/03/31/facebook-and-instagram-remove-bolsonaro-video-questioning-virus-quarantine/,World,arts; culture and entertainment - internet,100
MAS: Bank loans rose 0.2% in February due to increased business loans,Theonlinecitizen.com,31/3/2020,In February; bank lending increased in the midst of COVID-19 spread. According to the preliminary data by the Monetary Authority of Singapore (MAS) on Tuesday (31 March); this increase was spurred by the increase in business loans. Loans through the domestic …,https://www.theonlinecitizen.com/2020/03/31/mas-bank-loans-rose-0-2-in-february-due-to-increased-business-loans/,Business,economy; business and finance - macro economics - loans,100
Global lockdown tightens as virus deaths mount,Theonlinecitizen.com,31/3/2020,by Mariette Le Roux with Daniel Silva in Madrid and Maria Antonova in Moscow Harsh lockdowns aimed at halting the march of the coronavirus extended around the world on Monday as the death toll soared past 35;000 despite slivers of hope in stricken Italy and S…,https://www.theonlinecitizen.com/2020/03/31/global-lockdown-tightens-as-virus-deaths-mount/,World,,0
