Title, Source, Date, Content, URL, Category
‘Nothing short of amazing’: Health DG pays tribute to health workers,Thestar.com.my,31/3/2020,PETALING JAYA: The dedication shown by healthcare workers battling Covid-19 in the country is "nothing short of amazing"; says Datuk Seri Dr Noor Hisham Abdullah.,https://www.thestar.com.my/news/nation/2020/03/31/nothing-short-of-amazing-health-dg-pays-tribute-to-health-workers,World
Jakarta buries 283 Covid-19 victims; suspected victims in under a month,Thestar.com.my,31/3/2020,JAKARTA (The Jakarta Post/ANN): Nearly 300 suspected and confirmed Covid-19 victims have been buried in Jakarta since the beginning of March; Jakarta Governor Anies Baswedan said on Monday (March 30).,https://www.thestar.com.my/news/regional/2020/03/31/jakarta-buries-283-covid-19-victims-suspected-victims-in-under-a-month,World
Myanmar reports first coronavirus death as case numbers rise,Thestar.com.my,31/3/2020,(Reuters) - Myanmar reported its first coronavirus death on Tuesday; a 69-year-old man who also had cancer and died in a hospital in the commercial capital of Yangon; a government spokeswoman said.,https://www.thestar.com.my/news/world/2020/03/31/myanmar-reports-first-coronavirus-death-as-case-numbers-rise,World
China's manufacturing PMI rebounds in March,Thestar.com.my,31/3/2020,BEIJING (Xinhua): The purchasing managers' index (PMI) for China's manufacturing sector firmed up to 52 in March from 35.7 in February; the National Bureau of Statistics (NBS) said Tuesday (March 31).,https://www.thestar.com.my/news/regional/2020/03/31/china039s-manufacturing-pmi-rebounds-in-march,World
Coronavirus epidemic 'far from over' in Asia - WHO official,Thestar.com.my,31/3/2020,BEIJING (Reuters) - The coronavirus epidemic is "far from over" in the Asia-Pacific region; and the current measures to curb the spread of the virus are merely buying time for countries to prepare for large-scale community transmissions; a WHO official said o…,https://www.thestar.com.my/news/world/2020/03/31/coronavirus-epidemic-039far-from-over039-in-asia---who-official,World
Covid-19: Disinfection work in Johor to continue up to April 14,Thestar.com.my,31/3/2020,JOHOR BARU: The Fire Department along with workers from SwCorp have already started disinfection work in the state and this will continue up to April 14.,https://www.thestar.com.my/news/nation/2020/03/31/covid-19-disinfection-work-in-johor-to-continue-up-to-april-14,World
Hong Kong uses stool test kits to screen children for Covid-19,Thestar.com.my,31/3/2020,HONG KONG (China Daily/ANN): The Hong Kong Department of Health has teamed with the Chinese University of Hong Kong to beef up its capacity to identify patients infected with the novel coronavirus.,https://www.thestar.com.my/news/regional/2020/03/31/hong-kong-uses-stool-test-kits-to-screen-children-for-covid-19,World
Covid-19: 1;600 in Pulau Gaya screened so far; three positive cases detected,Thestar.com.my,31/3/2020,KOTA KINABALU: Health officials last week screened 1;600 of Pulau Gaya's population of between 5;000 and 6;000; and detected three positive cases of Covid-19; says Sabah Health Department director Datuk Christina Rundi.,https://www.thestar.com.my/news/nation/2020/03/31/covid-19-1600-in-pulau-gaya-screened-so-far-three-positive-cases-detected,World
Two senior citizen hikers detained under MCO,Thestar.com.my,31/3/2020,JOHOR BARU (Bernama): Two senior citizen hikers may have climbed Gunung Lambak near Kluang on Monday (March 30) but they were not beyond the reach of the law when police detained them for violating the Movement Control Order (MCO).,https://www.thestar.com.my/news/nation/2020/03/31/two-senior-citizen-hikers-detained-under-mco,World
Exclusive: Japan businessman paid $8.2 million by Tokyo Olympics bid lobbied figure at center of French corruption probe,Thestar.com.my,31/3/2020,TOKYO/PARIS (Reuters) - A businessman who received millions of dollars for his work on Tokyo's successful campaign to host the 2020 Olympics; which was postponed last week due to the coronavirus; said he played a key role in securing the support of a former O…,https://www.thestar.com.my/news/world/2020/03/31/exclusive-japan-businessman-paid-82-million-by-tokyo-olympics-bid-lobbied-figure-at-center-of-french-corruption-probe,Business
China races to increase output of ventilators,Thestar.com.my,31/3/2020,BEIJING (China Daily/ANN): China is racing to produce several thousands of multifunction ventilators; as demand for the lifesaving machines skyrockets across the world due to the Covid-19 pandemic; the country's top industry regulator said on Monday (March 30…,https://www.thestar.com.my/news/regional/2020/03/31/china-races-to-increase-output-of-ventilators,World
Xi vows aid for smaller businesses hit by Covid-19,Thestar.com.my,31/3/2020,HANGZHOU (Xinhua): President Xi Jinping said China will roll out more targeted measures to help small and medium-sized enterprises (SMEs) hit by the Covid-19 outbreak restart production and further develop.,https://www.thestar.com.my/news/regional/2020/03/31/xi-china-to-boost-businesses-hit-by-covid-19,World
MCO legal proceedings: Only one family member allowed outside courthouse,Thestar.com.my,31/3/2020,GEORGE TOWN: Police were alerted when groups of people gathered at the courthouse here on Tuesday (March 31); and they quickly went to see what was happening.,https://www.thestar.com.my/news/nation/2020/03/31/mco-legal-proceedings-only-one-family-member-allowed-outside-courthouse,World
MCO: Lorry driver gets one month for 'hanging out' with friend,Thestar.com.my,31/3/2020,KUALA LUMPUR: A lorry driver was sentenced to one month in jail by a Magistrate's Court in Selayang here on Tuesday (March 31) after he pleaded guilty to violating the movement control order (MCO).,https://www.thestar.com.my/news/nation/2020/03/31/mco-lorry-driver-gets-one-month-for-039hanging-out039-with-friend,World
Pessimistic Indian doctors brace for tsunami of Covid-19 cases,Thestar.com.my,31/3/2020,NEW DELHI (Bloomberg): It's the phone calls at all hours of the night he remembers. As swine flu ravaged northern India in 2015; a radiologist working at a hospital in a Delhi suburb said people would call begging for a bed.,https://www.thestar.com.my/news/regional/2020/03/31/pessimistic-indian-doctors-brace-for-tsunami-of-covid-19-cases,World
World Bank: Covid-19 will push 11 million in East Asia; Pacific into poverty,Thestar.com.my,31/3/2020,WASHINGTON (The Straits Times/ANN): In a bad case scenario; East Asia and the Pacific could see up to 11 million people driven into poverty; with low wage and informal sector workers the most vulnerable; the World Bank warns in a report on the economic impact…,https://www.thestar.com.my/news/regional/2020/03/31/world-bank-covid-19-will-push-11-million-in-east-asia-pacific-into-poverty,Business
SMEs; facing bankruptcy; ask for more help,Thestar.com.my,31/3/2020,PETALING JAYA: Local SMEs; especially retailers; say not enough help is forthcoming to help them survive the impact of the MCO on their businesses.,https://www.thestar.com.my/business/business-news/2020/03/31/smes-facing-bankruptcy-ask-for-more-help,World
Miri PKR MP says he's received RM100k govt allocation for MCO period,Thestar.com.my,31/3/2020,MIRI: Miri PKR MP Dr Michael Teo Yu Keng says he has received an emergency fund of RM100;000 from the Federal Government to buy food supplies for the needy in his constituency during the movement control order (MCO).,https://www.thestar.com.my/news/nation/2020/03/31/miri-pkr-mp-says-he039s-received-rm100k-govt-allocation-for-mco-period,World
Covid-19: State-backed players join pandemic cyber crime attacks - The Star Online,Thestar.com.my,31/3/2020,Network cables are seen going into a server in an office building in Washington; DC. Hades; linked to the APT28 which is believed to be of Russian origin and behind an attack on the US Democrat party in 2016; was the first state-backed group to use the epidem…,https://www.thestar.com.my/tech/tech-news/2020/03/31/covid-19-state-backed-players-join-pandemic-cyber-crime-attacks,World
Only one of the infected in Menara City One linked to tabligh cluster; says condo management,Thestar.com.my,31/3/2020,PETALING JAYA: Only one of the infected people staying at Menara City One condominium tower on Jalan Munshi Abdullah was linked to the Sri Petaling Mosque tabligh cluster; said a spokesman from the Menara City One management company.,https://www.thestar.com.my/news/nation/2020/03/31/only-one-of-the-infected-in-menara-city-one-linked-to-tabligh-cluster-says-condo-management,World
Japan coronavirus infections top 2;000 cases,Thestar.com.my,31/3/2020,TOKYO (Reuters) - Coronavirus infections in Japan topped 2;000 cases on Tuesday; according to a Reuters calculation based on ministry data and media reports.,https://www.thestar.com.my/news/world/2020/03/31/japan-coronavirus-infections-top-2000-cases,World
RM1k fine for anyone venturing out? Fake news,Thestar.com.my,31/3/2020,PETALING JAYA: A commotion at a supermarket; a RM1;000 fine on anyone who leaves their house and a notice supposedly by the Inspector-General of Police (IGP) – these are among the fake news circulating on social media.,https://www.thestar.com.my/news/nation/2020/03/31/rm1k-fine-for-anyone-venturing-out-fake-news,World
MACC to look into allegations of abuse over Sabah's RM100 MCO assistance,Thestar.com.my,31/3/2020,KOTA KINABALU: Graft-busters have set up a task force to look into allegations that the RM100 assistance for groceries for those most affected by the movement control order (MCO) amid the Covid-19 pandemic has been misused.,https://www.thestar.com.my/news/nation/2020/03/31/macc-to-look-into-allegations-of-abuse-over-sabah039s-rm100-mco-assistance,World
Many small retailers expected to close shop soon,Thestar.com.my,31/3/2020,Many small retailers expected to close shop soon thestar.com.my,https://www.thestar.com.my/business/business-news/2020/03/31/many-small-retailers-expected-to-close-shop-soon,World
Japan urges citizens to stay away from a third of the world,Thestar.com.my,31/3/2020,TOKYO (Reuters) - Japan is urging its citizens not to travel to 73 countries and regions; or a third of all countries in the world; Foreign Minister Toshimitsu Motegi said on Tuesday; as the government fights to prevent an explosive surge in coronavirus cases.,https://www.thestar.com.my/news/world/2020/03/31/japan-urges-citizens-to-stay-away-from-a-third-of-the-world,World
Japan PM; Deputy PM to avoid same meetings as precaution vs virus infection,Thestar.com.my,31/3/2020,TOKYO (Reuters) - Japan's prime minister and deputy prime minister will avoid attending the same meeting as a precaution against coronavirus infection; a government spokesman said on Tuesday.,https://www.thestar.com.my/news/world/2020/03/31/japan-pm-deputy-pm-to-avoid-same-meetings-as-precaution-vs-virus-infection,World
