Title, Source, Date, Content, URL, Category, Classification, Relevance
Man eating at bus stop among 137 detained since the start of MCO in Melaka,Thestar.com.my,30/3/2020,MELAKA: A man who was enjoying his meal at a bus stop here is among those detained by Melaka police for violating the movement control order (MCO).,https://www.thestar.com.my/news/nation/2020/03/30/man-eating-at-bus-stop-among-137-detained-since-the-start-of-mco-in-melaka,World,crime; law and justice - police,100
Dutch coronavirus cases rise by 884 to 11;750 - authorities,Thestar.com.my,30/3/2020,AMSTERDAM (Reuters) - The number of confirmed coronavirus cases in the Netherlands rose to 11;750 on Monday from a day earlier; with 884 new cases and 93 new deaths; health authorities said.,https://www.thestar.com.my/news/world/2020/03/30/dutch-coronavirus-cases-rise-by-884-to-11750---authorities,World,social issue - demographics,100
Prominent Serbian Orthodox Church bishop dies of coronavirus,Thestar.com.my,30/3/2020,BELGRADE (Reuters) - A prominent bishop in the Serbian Orthodox Church died from a coronavirus infection less than a week after being hospitalised; his diocese said on Monday.,https://www.thestar.com.my/news/world/2020/03/30/prominent-serbian-orthodox-church-bishop-dies-of-coronavirus,World,religion and belief - christianity - orthodoxy,100
Zimbabweans enter coronavirus lockdown amid severe economic crisis,Thestar.com.my,30/3/2020,HARARE (Reuters) - Zimbabwe began a 21-day nationwide lockdown on Monday; following neighbour South Africa in implementing some of the world's toughest anti-coronavirus measures likely to hurt an economy already suffering hyperinflation and food shortages.,https://www.thestar.com.my/news/world/2020/03/30/zimbabweans-enter-coronavirus-lockdown-amid-severe-economic-crisis,Business,,0
What MCO? Four cabbies fined RM1k each for non-compliance in Sarawak,Thestar.com.my,30/3/2020,SIBU: Four taxi drivers were on Monday (March 30) fined RM1;000 each; in default two months' jail by the Magistrate's Court; after they pleaded guilty for not adhering to the movement control order (MCO).,https://www.thestar.com.my/news/nation/2020/03/30/what-mco-four-cabbies-fined-rm1k-each-for-non-compliance-in-sarawak,Business,crime; law and justice - judiciary (system of justice),100
Glezos; Greek who tore swastika from Acropolis in WW2; dies aged 97,Thestar.com.my,30/3/2020,ATHENS (Reuters) - Manolis Glezos; a prominent Greek whose act of defiance against Nazi occupation during World War Two was a rallying cry for the country's resistance movement; died on Monday; authorities said. He was 97.,https://www.thestar.com.my/news/world/2020/03/30/glezos-greek-who-tore-swastika-from-acropolis-in-ww2-dies-aged-97,World,unrest; conflicts and war - war,100
Fear on front lines as hospital staff face threats; stigma over coronavirus,Thestar.com.my,30/3/2020,MANILA: Janitor Ritchie Estabillo was on his way to work on Monday (March 30) when he was confronted by five men who poured bleach over his face; one of a growing number of hospital staff suffering abuse in the Philippines amid panic over Covid-19 (coronaviru…,https://www.thestar.com.my/news/regional/2020/03/30/fear-on-front-lines-as-hospital-staff-face-threats-stigma-over-coronavirus,World,,0
European solidarity is about more than shared bond issues - German government spokesman,Thestar.com.my,30/3/2020,BERLIN (Reuters) - European solidarity extends beyond the question of whether Germany backs the issue of common bonds to finance stimulus during the coronavirus crisis; German spokesman Steffen Seibert said on Monday.,https://www.thestar.com.my/news/world/2020/03/30/european-solidarity-is-about-more-than-shared-bond-issues---german-government-spokesman,Business,,0
Face mask rule could help when unwinding lockdown - German health ministry,Thestar.com.my,30/3/2020,BERLIN (Reuters) - An obligation for the general public to wear masks may have a role to play when Germany starts unwinding the lockdown measures that are currently in place to slow the spread of the coronavirus epidemic; a health ministry spokesman said.,https://www.thestar.com.my/news/world/2020/03/30/face-mask-rule-could-help-when-unwinding-lockdown---german-health-ministry,World,health - epidemic and plague,100
Germany: Coronavirus spreading too fast for us to loosen restrictions,Thestar.com.my,30/3/2020,BERLIN (Reuters) - Coronavirus is spreading too fast for restrictions on public life in Germany; Europe's economic powerhouse; to be lifted yet; a spokesman for the German government said on Monday.,https://www.thestar.com.my/news/world/2020/03/30/germany-coronavirus-spreading-too-fast-for-us-to-loosen-restrictions,Business,economy; business and finance - economy (general),100
